COMPANY,EVENT,SYSTEM NAME,START DATE,END DATE,APP TYPE,EVENT STATUS,POWERED ON,CLUSTER NAME,ARCHIVED
Adobe,IBC 2014,adobe:ibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-06-30,DORMANT01,NO
Ariba,SuccessConnect 2014,ariba:successconnect2014,2014-09-09,2014-09-11,MST_2,DORMANT,2014-07-28,DORMANT01,NO
Tektronix Communications,Super Mobility Week 2014,tektronixcommunications:mobilityweek2014,2014-09-09,2014-09-11,AST_3,DORMANT,2014-08-12,DORMANT01,NO
Time Warner Cable,Cloud Partners 2014,timewarnercable:cloudpartners2014,2014-09-08,2014-09-10,AST_3,DORMANT,2014-08-06,DORMANT01,NO
Box,BoxWorks 2014,box:boxworks2014,2014-09-02,2014-09-04,MST_2,DORMANT,2014-06-16,DORMANT01,NO
NetApp,Flash Summit 2014,netapp:execflashsummit2014,2014-08-25,2014-08-28,AST_3,DORMANT,2014-06-21,DORMANT01,NO
Cisco,VMWorld 2014 Whisper Suites 2014,cisco:acivmworld2014,2014-08-25,2014-08-28,AST_3,DORMANT,2014-06-18,DORMANT01,NO
Capgemini,VMWorld 2014,capgemini:vmworld2014,2014-08-24,2014-08-28,AST_3,DORMANT,2014-07-30,DORMANT01,NO
Dell,VMWorld 2014 | ESG,dell:esgvmworld2014,2014-08-24,2014-08-28,AST_3,DORMANT,2014-07-28,DORMANT01,NO
Dell,VMWorld 2014,dell:vmworld2014,2014-08-24,2014-08-27,MST_2,DORMANT,2014-07-22,DORMANT01,NO
Cisco,VMWorld 2014,cisco:vmworld2014,2014-08-24,2014-08-27,MST_2,DORMANT,2014-07-03,DORMANT01,NO
NetApp,VMworld 2014 | Meet the Engineer,netapp:engvmworld2014,2014-08-24,2014-08-27,MST_2,DORMANT,2014-06-19,DORMANT01,NO
VMWare,VMWorld 2014,vmware:vmworld2014,2014-08-24,2014-08-27,AST_3,DORMANT,2014-08-07,DORMANT01,NO
VCE,VMWorld 2014,vce:vmworld2014,2014-08-24,2014-08-27,AST_3,DORMANT,2014-07-08,DORMANT01,NO
Brocade,VMWorld 2014,brocade:vmworld2014,2014-08-24,2014-08-27,AST_3,DORMANT,2014-06-30,DORMANT01,NO
EMC,VMWorld 2014,emc:vmworld2014,2014-08-24,2014-08-27,AST_3,DORMANT,2014-06-27,DORMANT01,NO
NetApp,VMworld 2014,netapp:execvmworld2014,2014-08-24,2014-08-27,AST_3,DORMANT,2014-06-20,DORMANT01,NO
McKesson,Insight 2014,mckesson:insight2014,2014-08-04,2014-08-08,AST_3,DORMANT,2014-07-01,DORMANT01,NO
ARM,Partner Meeting 2014,arm:apm2014,2014-08-04,2014-08-07,AST_3,DORMANT,2014-05-20,DORMANT01,NO
Amadeus,Global Business Travel Association (GBTA) Convention 2014,amadeus:gbta2014,2014-07-26,2014-07-30,AST_3,DORMANT,2014-06-27,DORMANT01,NO
Cisco,Microsoft Worldwide Partner Conference 2014,cisco:msft2014,2014-07-13,2014-07-17,AST_3,DORMANT,2014-05-30,DORMANT01,NO
CEMA,CEMA Summit 2014,cema:cemasummit2014,2014-07-13,2014-07-14,AST_3,DORMANT,2014-06-17,DORMANT01,NO
Symantec,Symantec Vision Symposium - Munich 2014,symantec:visionmunich2014,2014-07-08,2014-07-09,MST_2,DORMANT,2014-06-04,DORMANT01,NO
Dell,AFCEA Cyber Symposium 2014,dell:afcea2014,2014-06-24,2014-06-25,AST_3,DORMANT,2014-06-03,DORMANT01,NO
Tektronix Communications,LTE 2014,tektronixcommunications:lte2014,2014-06-23,2014-06-25,AST_3,DORMANT,2014-05-09,DORMANT01,NO
athenahealth,HFMA ANI 2014,athenahealth:ani2014,2014-06-22,2014-06-25,AST_3,DORMANT,2014-05-21,DORMANT01,NO
Nuance,ANI 2014,nuance:ani2014,2014-06-22,2014-06-25,AST_3,DORMANT,2014-05-02,DORMANT01,NO
Yahoo!,Cannes Lions Festival 2014,yahoo:clf2014,2014-06-15,2014-06-21,AST_3,DORMANT,2014-04-14,DORMANT01,NO
Cisco,Infocomm2014,cisco:infocomm2014,2014-06-18,2014-06-20,AST_3,DORMANT,2014-04-30,DORMANT01,NO
Tektronix Communications,CommunicAsia 2014,tektronixcommunications:commasia2014,2014-06-17,2014-06-20,AST_3,DORMANT,2014-05-03,DORMANT01,NO
Medtronic,Russia TCT 2014,medtronic:russiatct2014,2014-06-16,2014-06-17,AST_3,DORMANT,2014-06-02,DORMANT01,NO
Medtronic,SVS 2014,medtronic:svs2014,2014-06-04,2014-06-06,AST_3,DORMANT,2014-05-07,DORMANT01,NO
Marvell,Computex2014,marvell:computex2014,2014-06-03,2014-06-06,AST_3,DORMANT,2014-05-02,DORMANT01,NO
Docusign,Momentum LDN 2014,docusign:momentumldn2014,2014-06-03,2014-06-05,MST_2,DORMANT,2014-05-05,DORMANT01,NO
Oracle,TM Forum’s Management World 2014,oracle:tmforum2014,2014-06-03,2014-06-05,MST_2,DORMANT,2014-04-10,DORMANT01,NO
NetApp,Industry Analysts Summit 2014,netapp:ias2014,2014-06-04,2014-06-05,AST_3,DORMANT,2014-03-28,DORMANT01,NO
EMC,Sapphire 2014,emc:sapphire2014,2014-06-03,2014-06-05,AST_3,DORMANT,2014-04-29,DORMANT01,NO
VCE,Sapphire 2014,vce:sapphire2014,2014-06-03,2014-06-05,AST_3,DORMANT,2014-04-29,DORMANT01,NO
NetApp,SAP SAPPHIRE NOW 2014,netapp:sapphire2014,2014-06-03,2014-06-05,AST_3,DORMANT,2014-03-04,DORMANT01,NO
Cisco,SAP SapphireNow 2014,cisco:sapphire2014,2014-06-02,2014-06-05,AST_3,DORMANT,2014-03-26,DORMANT01,NO
ARM,DAC 2014,arm:dac2014,2014-06-01,2014-06-05,AST_3,DORMANT,2014-05-01,DORMANT01,NO
Sanofi,American Society of Clinical Oncology 2014,sanofi:asco2014,2014-05-30,2014-06-02,AST_3,DORMANT,2014-04-02,DORMANT01,NO
EMC,Cisco Live 2014,emc:ciscolivesf2014,2014-05-19,2014-05-22,MST_2,DORMANT,2014-04-04,DORMANT01,NO
Cisco,Cisco Live San Francisco 2014,cisco:ciscolivedc2014,2014-05-18,2014-05-22,MST_2,DORMANT,2014-03-27,DORMANT01,NO
Cisco,Cisco Live 2014 – Meet the Executive,cisco:ciscolive2014,2014-05-18,2014-05-22,MST_2,DORMANT,2014-01-20,DORMANT01,NO
Cisco,Cisco Live 2014 – Executive Scheduler,cisco:exec2014,2014-05-18,2014-05-22,MPAST,DORMANT,2014-01-20,DORMANT01,NO
Cisco,ANGACOM 2014,cisco:anga2014,2014-05-20,2014-05-22,AST_3,DORMANT,2014-04-18,DORMANT01,NO
VCE,Cisco Live 2014,vce:ciscolive2014,2014-05-19,2014-05-22,AST_3,DORMANT,2014-04-29,DORMANT01,NO
LSI,Cisco Live 2014,lsi:ciscolive2014,2014-05-19,2014-05-22,AST_3,DORMANT,2014-04-09,DORMANT01,NO
NetApp,OpenStack 2014,netapp:openstack2014,2014-05-19,2014-05-22,AST_3,DORMANT,2014-03-21,DORMANT01,NO
NetApp,Cisco Live 2014,netapp:ciscolive2014,2014-05-19,2014-05-22,AST_3,DORMANT,2014-03-18,DORMANT01,NO
Cisco,Cisco Live W.I. 2014,cisco:ciscolivewi2014,2014-05-18,2014-05-22,AST_3,DORMANT,2014-05-14,DORMANT01,NO
Cisco,Cisco Live San Francisco ACI 2014,cisco:livesfaci2014,2014-05-18,2014-05-22,AST_3,DORMANT,2014-04-02,DORMANT01,NO
Cisco,Cisco Live U.S. 2014,cisco:ciscoliveus2014,2014-05-18,2014-05-22,AST_3,DORMANT,2014-03-26,DORMANT01,NO
Symantec,Symantec Vision Symposium - Dubai 2014,symantec:visiondubai2014,2014-05-20,2014-05-21,MST_2,DORMANT,2014-05-06,DORMANT01,NO
American Express,UK Client and Partner Summit 2014,americanexpress:suppliersummit2014,2014-05-20,2014-05-21,AST_SMT,DORMANT,2014-04-09,DORMANT01,NO
Xactly,CompCloud14 2014,xactly:compcloud14,2014-05-19,2014-05-21,AST_3,DORMANT,2014-04-01,DORMANT01,NO
Nuance,SIIM 2014,nuance:siim2014,2014-05-15,2014-05-17,AST_3,DORMANT,2014-04-18,DORMANT01,NO
Merge,SIIM 2014,merge:siim2014,2014-05-15,2014-05-17,AST_3,DORMANT,2014-04-18,DORMANT01,NO
Avnet,TS Partner Summit 2014,avnet:ps2014,2014-05-13,2014-05-16,MST_2,DORMANT,2014-03-28,DORMANT01,NO
EMC,EMC World BD 2014,emc:emcworldbd2014,2014-05-05,2014-05-08,MST_2,DORMANT,2014-04-01,DORMANT01,NO
Cisco,EMC World 2014,cisco:emcworld2014,2014-05-05,2014-05-08,MST_2,DORMANT,2014-03-28,DORMANT01,NO
EMC,EMC World EMSD Meetings 2014,emc:emcworldemsd2014,2014-05-05,2014-05-08,MST_2,DORMANT,2014-03-19,DORMANT01,NO
Cisco,Marketing Velocity 2014,cisco:marketingvelocity2014,2014-05-05,2014-05-08,MST_2,DORMANT,2014-02-14,DORMANT01,NO
Symantec,Vision 2014,symantec:vision2014,2014-05-04,2014-05-08,MST_2,DORMANT,2014-03-26,DORMANT01,NO
Cisco,Citrix Synergy LA 2014,cisco:synergyla2014,2014-05-06,2014-05-08,AST_3,DORMANT,2014-04-04,DORMANT01,NO
EMC,EMC World 2014,emc:emcworldhol2014,2014-05-05,2014-05-08,AST_3,DORMANT,2014-04-14,DORMANT01,NO
VCE,EMC World 2014,vce:emcworld2014,2014-05-05,2014-05-08,AST_3,DORMANT,2014-03-21,DORMANT01,NO
Brocade,EMC World 2014,brocade:emcworld2014,2014-05-05,2014-05-08,AST_3,DORMANT,2014-03-11,DORMANT01,NO
ServiceNow,Knowledge 2014,servicenow:knowledge14,2014-04-27,2014-05-01,MST_2,DORMANT,2014-04-10,DORMANT01,NO
Cisco,The Cable Show 2014,cisco:ncta2014,2014-04-29,2014-05-01,AST_3,DORMANT,2014-03-21,DORMANT01,NO
NetApp,Citrix Synergy 2014,netapp:synergy2014,2014-04-14,2014-04-17,AST_3,DORMANT,2014-03-03,DORMANT01,NO
NetApp,Red Hat Summit 2014,netapp:redhatsf2014,2014-04-14,2014-04-17,AST_3,DORMANT,2014-02-21,DORMANT01,NO
NetApp,National Association of Broadcaster 2014,netapp:nab2014,2014-04-07,2014-04-10,AST_SSO_3,DORMANT,2014-01-30,DORMANT01,NO
Cisco,NAB 2014,cisco:nab2014,2014-04-07,2014-04-10,AST_3,DORMANT,2014-03-11,DORMANT01,NO
Adobe,NAB 2014,adobe:nab2014,2014-04-07,2014-04-10,AST_3,DORMANT,2014-03-07,DORMANT01,NO
Haemonetics,2014 User Group Meeting,haemonetics:ugm2014,2014-04-07,2014-04-09,AST_3,DORMANT,2014-03-04,DORMANT01,NO
Cisco,Interop Las Vegas 2014 Staff,cisco:interoplv2014staff,2014-04-01,2014-04-03,AST_3,DORMANT,2014-03-20,DORMANT01,NO
Marvell,Interop 2014,marvell:interop2014,2014-04-01,2014-04-03,AST_3,DORMANT,2014-03-06,DORMANT01,NO
Brocade,Interop 2014,brocade:interop2014,2014-04-01,2014-04-03,AST_3,DORMANT,2014-02-20,DORMANT01,NO
Cisco,Interop Las Vegas 2014,cisco:interoplv2014,2014-04-01,2014-04-03,AST_3,DORMANT,2014-02-17,DORMANT01,NO
Vendavo,Profit Summit 2014,vendavo:ps2014,2014-03-25,2014-03-27,MST,DORMANT,2014-01-30,DORMANT01,NO
Cisco,Partner Summit 2014 – Executive 1:1,cisco:partnersummit2014,2014-03-24,2014-03-27,MST,DORMANT,2013-12-02,DORMANT01,NO
Cisco,Partner Summit 2014 – Operations Director 1:1,cisco:psod2014,2014-03-24,2014-03-27,MST,DORMANT,2013-12-02,DORMANT01,NO
Yahoo!,AdTech San Francisco 2014,yahoo:adtechsf2014,2014-03-26,2014-03-27,AST_3,DORMANT,2014-03-06,DORMANT01,NO
Oracle,Industry Connect 2014,oracle:ic2014,2014-03-25,2014-03-26,MST,DORMANT,2014-01-22,DORMANT01,NO
Motorola,Solutions Channel Partner Expo 2014,motorola:scpe2014,2014-03-23,2014-03-26,MST,DORMANT,2014-01-15,DORMANT01,NO
NetApp,Amazon Web Services Summit 2014,netapp:aswsf2014,2014-03-25,2014-03-26,AST_3,DORMANT,2014-02-19,DORMANT01,NO
Winwholesale,AMVS 2014,winwholesale:amvs2014,2014-03-16,2014-03-21,AST_SMT,DORMANT,2013-10-01,DORMANT01,NO
Cisco,Live Melbourne 2014,cisco:clmelbourneaci2014,2014-03-17,2014-03-21,AST_3,DORMANT,2014-02-26,DORMANT01,NO
Marvell,TV Connect 2014,marvell:tvconnect2014,2014-03-18,2014-03-20,AST_3,DORMANT,2014-02-20,DORMANT01,NO
Cisco,Enterprise Connect 2014,cisco:ec2014,2014-03-17,2014-03-20,AST_3,DORMANT,2014-02-13,DORMANT01,NO
Plantronics,Enterprise Connect 2014,plantronics:ec2014,2014-03-17,2014-03-19,AST_SSO_3,DORMANT,2014-01-30,DORMANT01,NO
Cisco,OFC/NCOEC 2014,cisco:ofcnfoec2014,2014-03-11,2014-03-14,AST_SSO_3,DORMANT,2014-02-10,DORMANT01,NO
Experient,Envision 2014,experient:envision2014,2014-03-11,2014-03-14,AST_SMT,DORMANT,2014-02-11,DORMANT01,NO
DocuSign,Momentum 2014,docusign:momentum2014,2014-03-04,2014-03-06,MST,DORMANT,2014-01-30,DORMANT01,NO
Oracle,MWC 2014,oracle:mwc2014,2014-02-24,2014-02-27,MST,DORMANT,2014-01-09,DORMANT01,NO
Cisco,RSA 2014,cisco:rsa2014,2014-02-24,2014-02-27,MST,DORMANT,2014-01-03,DORMANT01,NO
LSI,MWC 2014,lsi:mwc2014,2014-02-24,2014-02-27,MST,DORMANT,2013-12-11,DORMANT01,NO
Oracle,Embedded World 2014,oracle:ew2014,2014-02-24,2014-02-27,MST,DORMANT,2013-12-11,DORMANT01,NO
Brocade,MWC 2014,brocade:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2014-01-23,DORMANT01,NO
Citrix,MWC 2014,citrix:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2014-01-15,DORMANT01,NO
Cisco,MWC 2014,cisco:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-12-20,DORMANT01,NO
Yahoo!,MWC 2014,yahoo:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-12-20,DORMANT01,NO
Marvell,MWC 2014,marvell:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-12-09,DORMANT01,NO
Tektronix Communications,MWC 2014,tektronixcommunications:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-12-06,DORMANT01,NO
Micron,MWC 2014,micron:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-12-04,DORMANT01,NO
Ruckus,MWC 2014,ruckus:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-12-03,DORMANT01,NO
ARM,MWC 2014,arm:mwc2014,2014-02-24,2014-02-27,AST_SSO_3,DORMANT,2013-11-25,DORMANT01,NO
Imprivata,HIMSS 2014,imprivata:himss2014,2014-02-23,2014-02-27,AST_SSO_3,DORMANT,2014-01-31,DORMANT01,NO
Nuance,HIMSS 2014,nuance:himss2014,2014-02-23,2014-02-27,AST_SSO_3,DORMANT,2014-01-22,DORMANT01,NO
athenahealth,HIMSS 2014,athenahealth:himss2014,2014-02-23,2014-02-27,AST_SSO_3,DORMANT,2014-01-21,DORMANT01,NO
Cisco,HIMSS 2014,cisco:himss2014,2014-02-23,2014-02-27,AST_SSO_3,DORMANT,2013-12-18,DORMANT01,NO
NetApp,HIMSS 2014,netapp:himss2014,2014-02-24,2014-02-26,AST_SSO_3,DORMANT,2014-01-21,DORMANT01,NO
Cisco,EMEAR Data Center Partner Connection,cisco:dcpce2014,2014-02-18,2014-02-20,MST,DORMANT,2013-11-25,DORMANT01,NO
EMC,VMWare Partner Exchange 2014,emc:vmpx2014,2014-02-10,2014-02-13,MST,DORMANT,2013-12-20,DORMANT01,NO
Marvell,Digital Sinage Expo 2014,marvell:dse2014,2014-02-12,2014-02-13,AST_SSO_3,DORMANT,2014-01-27,DORMANT01,NO
LSI,KickOff 2014,lsi:kickoff2014,2014-02-09,2014-02-12,MST,DORMANT,2013-12-20,DORMANT01,NO
NetApp,VMWare Partner Exchange 2014,netapp:vmpx2014,2014-02-10,2014-02-12,AST_SSO_3,DORMANT,2013-12-04,DORMANT01,NO
Cisco,Integrated Systems Europe 2014,cisco:ise2014,2014-02-04,2014-02-06,AST_SSO_3,DORMANT,2013-12-17,DORMANT01,NO
Cisco,Data Center Partner Connection Americas 2014,cisco:dcpca2014,2014-02-03,2014-02-06,AST_SSO_3,DORMANT,2013-12-12,DORMANT01,NO
EMC,Cisco Live 2014,emc:ciscolive2014,2014-01-28,2014-01-30,MST,DORMANT,2013-12-12,DORMANT01,NO
Cisco,Live Milan 2014 - Security,cisco:clmilan2014,2014-01-27,2014-01-30,MST,DORMANT,2013-12-16,DORMANT01,NO
